season,player_id,player_name,team,rush_attempts,receptions,total_touches,rush_yards,rec_yards,total_yards,rush_tds,rec_tds,total_tds,rush_epa,rec_epa,total_epa,epa_per_touch,late_epa,late_tds,fumbles_lost,scrimmage_yards,yards_per_touch,pct_team_yards,pct_team_tds,position,targets,catch_rate,target_share
1999,00-0015698,J.Stewart,JAX,236.0,21.0,257.0,902.0,108.0,,13.0,0.0,13.0,-10.319999694824219,0.8669999837875366,-9.45300006866455,-0.037,-0.4189999997615814,2.0,3.0,1010.0,3.93,18.3,37.1,RB,27.0,0.778,5.1
1999,00-0002459,K.Bynum,LAC,91.0,16.0,107.0,284.0,209.0,,1.0,2.0,3.0,-20.283000946044922,12.871000289916992,-7.4120001792907715,-0.069,-5.434999942779541,0.0,1.0,493.0,4.607,10.7,13.6,RB,23.0,0.696,4.2
1999,00-0004694,K.Dyson,TEN,1.0,54.0,55.0,3.0,658.0,,0.0,4.0,4.0,0.03799999877810478,51.224998474121094,51.26300048828125,0.932,5.015999794006348,1.0,0.0,661.0,12.018,13.1,9.8,WR,103.0,0.524,20.1
1999,00-0005091,K.Faulk,NE,66.0,12.0,78.0,227.0,98.0,,1.0,1.0,2.0,-19.214000701904297,5.936999797821045,-13.276000022888184,-0.17,-0.7580000162124634,0.0,2.0,325.0,4.167,6.1,7.1,RB,19.0,0.632,3.7
1999,00-0008560,K.Johnson,CLE,1.0,65.0,66.0,-6.0,983.0,,0.0,8.0,8.0,-1.1050000190734863,84.71600341796875,83.61000061035156,1.267,13.527999877929688,0.0,0.0,977.0,14.803,25.7,30.8,WR,135.0,0.481,28.8
1999,00-0008561,K.Johnson,NYJ,5.0,88.0,93.0,6.0,1166.0,,0.0,8.0,8.0,-2.3580000400543213,115.1449966430664,112.78700256347656,1.213,27.507999420166016,3.0,0.0,1172.0,12.602,25.1,28.6,WR,148.0,0.595,32.2
1999,00-0010668,K.McCardell,,0.0,78.0,78.0,0.0,891.0,,0.0,5.0,5.0,0.0,80.45700073242188,80.45700073242188,1.032,17.691999435424805,1.0,0.0,891.0,11.423,89100.0,500.0,WR,148.0,0.527,14800.0
1999,00-0012480,K.Oxendine,ATL,138.0,17.0,155.0,442.0,172.0,,1.0,1.0,2.0,-31.893999099731445,11.961000442504883,-19.933000564575195,-0.129,-9.845999717712402,0.0,4.0,614.0,3.961,12.9,6.5,RB,22.0,0.773,4.6
1999,00-0002846,L.Centers,WAS,13.0,68.0,81.0,51.0,527.0,,0.0,3.0,3.0,-1.1200000047683716,34.03499984741211,32.91400146484375,0.406,14.979999542236328,2.0,0.0,578.0,7.136,9.6,6.1,TE,89.0,0.764,17.2
1999,00-0007520,L.Hoard,MIN,138.0,17.0,155.0,555.0,166.0,,10.0,0.0,10.0,-15.767999649047852,10.274999618530273,-5.49399995803833,-0.035,3.8320000171661377,4.0,3.0,721.0,4.652,12.2,22.7,RB,20.0,0.85,4.0
1999,00-0008570,L.Johnson,NYG,58.0,12.0,70.0,139.0,86.0,,2.0,1.0,3.0,-19.290000915527344,4.538000106811523,-14.751999855041504,-0.211,0.0,0.0,2.0,225.0,3.214,4.3,11.1,RB,15.0,0.8,2.6
1999,00-0015242,L.Smith,NO,60.0,20.0,80.0,205.0,151.0,,0.0,1.0,1.0,-12.37399959564209,3.9769999980926514,-8.395999908447266,-0.105,-0.1599999964237213,0.0,0.0,356.0,4.45,7.2,4.3,RB,30.0,0.667,5.6
1999,00-0017218,L.Warren,NE,34.0,29.0,63.0,115.0,262.0,,0.0,1.0,1.0,-4.230000019073486,13.984000205993652,9.755000114440918,0.155,5.01800012588501,0.0,0.0,377.0,5.984,7.1,3.6,RB,48.0,0.604,9.3
1999,00-0000251,M.Alstott,TB,234.0,27.0,261.0,940.0,239.0,,7.0,2.0,9.0,-34.46799850463867,14.229000091552734,-20.239999771118164,-0.078,-5.701000213623047,5.0,5.0,1179.0,4.517,27.5,36.0,RB,34.0,0.794,7.8
1999,00-0000856,M.Basnight,CIN,61.0,16.0,77.0,305.0,172.0,,0.0,0.0,0.0,-12.866999626159668,8.322999954223633,-4.544000148773193,-0.059,-0.7229999899864197,0.0,0.0,477.0,6.195,9.6,0.0,RB,19.0,0.842,3.6
1999,00-0000871,M.Bates,ARI,72.0,5.0,77.0,202.0,34.0,,9.0,0.0,9.0,2.7260000705718994,0.621999979019165,3.3480000495910645,0.043,5.381999969482422,5.0,0.0,236.0,3.065,5.7,37.5,RB,7.0,0.714,1.3
1999,00-0005092,M.Faulk,LA,224.0,80.0,304.0,1254.0,976.0,,7.0,5.0,12.0,15.956999778747559,67.2040023803711,83.16100311279297,0.274,30.481000900268555,5.0,2.0,2230.0,7.336,37.0,23.1,RB,94.0,0.851,19.8
1999,00-0007024,M.Harrison,IND,1.0,114.0,115.0,4.0,1635.0,,0.0,12.0,12.0,0.04800000041723251,136.41400146484375,136.46200561523438,1.187,27.388999938964844,0.0,0.0,1639.0,14.252,29.2,30.0,WR,194.0,0.588,36.3
1999,00-0011795,M.Muhammad,,0.0,95.0,95.0,0.0,1249.0,,0.0,8.0,8.0,0.0,95.38800048828125,95.38800048828125,1.004,12.37600040435791,4.0,0.0,1249.0,13.147,124900.0,800.0,WR,155.0,0.613,15500.0
1999,00-0013013,M.Pittman,ARI,63.0,16.0,79.0,287.0,196.0,,2.0,0.0,2.0,-11.369999885559082,11.22700023651123,-0.14300000667572021,-0.002,-1.2130000591278076,0.0,1.0,483.0,6.114,11.7,8.3,RB,27.0,0.593,5.0
1999,00-0013888,M.Robinson,,0.0,83.0,83.0,0.0,1389.0,,0.0,9.0,9.0,0.0,122.71399688720703,122.71399688720703,1.478,29.253000259399414,3.0,0.0,1389.0,16.735,138900.0,900.0,WR,148.0,0.561,14800.0
1999,00-0017470,M.Westbrook,WAS,6.0,65.0,71.0,26.0,1191.0,,0.0,9.0,9.0,-1.1950000524520874,97.85700225830078,96.66200256347656,1.361,21.121999740600586,2.0,0.0,1217.0,17.141,20.2,18.4,WR,115.0,0.565,22.2
1999,00-0009038,N.Kaufman,LV,137.0,18.0,155.0,715.0,181.0,,2.0,1.0,3.0,-1.7410000562667847,11.267999649047852,9.527000427246094,0.061,11.968000411987305,3.0,1.0,896.0,5.781,15.9,7.1,RB,25.0,0.72,4.9
1999,00-0011081,N.Means,LAC,111.0,9.0,120.0,273.0,51.0,,4.0,1.0,5.0,-21.62299919128418,3.0409998893737793,-18.582000732421875,-0.155,-2.8910000324249268,1.0,0.0,324.0,2.7,7.0,22.7,RB,13.0,0.692,2.4
1999,00-0005816,O.Gary,DEN,271.0,21.0,292.0,1110.0,159.0,,7.0,0.0,7.0,-13.97700023651123,7.485000133514404,-6.492000102996826,-0.022,-4.317999839782715,2.0,2.0,1269.0,4.346,24.2,24.1,RB,29.0,0.724,5.5
1999,00-0007661,P.Holmes,BAL,76.0,10.0,86.0,445.0,67.0,,1.0,0.0,1.0,9.795000076293945,1.7769999504089355,11.571000099182129,0.135,7.617000102996826,1.0,0.0,512.0,5.953,11.2,3.8,RB,13.0,0.769,2.7
1999,00-0008300,P.Jeffers,CAR,2.0,63.0,65.0,16.0,1082.0,,0.0,12.0,12.0,-0.22599999606609344,101.54199981689453,101.31600189208984,1.559,55.1349983215332,7.0,0.0,1098.0,16.892,19.0,25.5,WR,100.0,0.63,17.8
1999,00-0011425,P.Mitchell,,0.0,58.0,58.0,0.0,520.0,,0.0,3.0,3.0,0.0,50.41699981689453,50.41699981689453,0.869,9.529999732971191,1.0,0.0,520.0,8.966,52000.0,300.0,TE,90.0,0.644,9000.0
1999,00-0008059,Q.Ismail,BAL,1.0,64.0,65.0,4.0,1059.0,,0.0,6.0,6.0,0.7279999852180481,85.72699737548828,86.45500183105469,1.33,41.29399871826172,4.0,0.0,1063.0,16.354,23.2,23.1,WR,133.0,0.481,27.3
